AVG_time,AVG,AVGSDI_time,AVGSDI,STD_time,STD,STDSDI_time,STDSDI,CNT_time,CNT,CNTSDI_time,CNTSDI,OUT_time,OUT,OUTSDI_time,OUTSDI
11/29/2021 22:49:30,NaN,11/29/2021 22:55:30,0.002,11/29/2021 22:55:30,NaN,11/29/2021 22:55:30,0.000,11/29/2021 22:55:30,0,11/29/2021 22:55:30,37,11/29/2021 22:55:30,0,11/29/2021 22:55:30,0
11/29/2021 22:55:30,NaN,11/29/2021 23:01:30,0.002,11/29/2021 23:01:30,NaN,11/29/2021 23:01:30,0.000,11/29/2021 23:01:30,0,11/29/2021 23:01:30,37,11/29/2021 23:01:30,0,11/29/2021 23:01:30,0
11/29/2021 23:01:30,NaN,11/29/2021 23:07:30,0.002,11/29/2021 23:07:30,NaN,11/29/2021 23:07:30,0.000,11/29/2021 23:07:30,0,11/29/2021 23:07:30,37,11/29/2021 23:07:30,0,11/29/2021 23:07:30,0
11/29/2021 23:07:30,NaN,11/29/2021 23:13:30,0.002,11/29/2021 23:13:30,NaN,11/29/2021 23:13:30,0.000,11/29/2021 23:13:30,0,11/29/2021 23:13:30,37,11/29/2021 23:13:30,0,11/29/2021 23:13:30,0
11/29/2021 23:13:30,NaN,11/29/2021 23:19:30,0.002,11/29/2021 23:19:30,NaN,11/29/2021 23:19:30,0.000,11/29/2021 23:19:30,0,11/29/2021 23:19:30,37,11/29/2021 23:19:30,0,11/29/2021 23:19:30,0
11/29/2021 23:19:30,NaN,11/29/2021 23:25:30,0.002,11/29/2021 23:25:30,NaN,11/29/2021 23:25:30,0.000,11/29/2021 23:25:30,0,11/29/2021 23:25:30,37,11/29/2021 23:25:30,0,11/29/2021 23:25:30,0
11/29/2021 23:25:30,NaN,11/29/2021 23:31:30,0.002,11/29/2021 23:31:30,NaN,11/29/2021 23:31:30,0.000,11/29/2021 23:31:30,0,11/29/2021 23:31:30,37,11/29/2021 23:31:30,0,11/29/2021 23:31:30,0
11/29/2021 23:31:30,NaN,11/29/2021 23:37:30,0.002,11/29/2021 23:37:30,NaN,11/29/2021 23:37:30,0.000,11/29/2021 23:37:30,0,11/29/2021 23:37:30,37,11/29/2021 23:37:30,0,11/29/2021 23:37:30,0
11/29/2021 23:37:30,NaN,11/29/2021 23:43:30,0.002,11/29/2021 23:43:30,NaN,11/29/2021 23:43:30,0.000,11/29/2021 23:43:30,0,11/29/2021 23:43:30,37,11/29/2021 23:43:30,0,11/29/2021 23:43:30,0
11/29/2021 23:43:30,NaN,11/29/2021 23:49:30,0.002,11/29/2021 23:49:30,NaN,11/29/2021 23:49:30,0.000,11/29/2021 23:49:30,0,11/29/2021 23:49:30,37,11/29/2021 23:49:30,0,11/29/2021 23:49:30,0
11/29/2021 23:49:30,NaN,11/29/2021 23:55:30,0.002,11/29/2021 23:55:30,NaN,11/29/2021 23:55:30,0.000,11/29/2021 23:55:30,0,11/29/2021 23:55:30,37,11/29/2021 23:55:30,0,11/29/2021 23:55:30,0
11/29/2021 23:55:30,NaN,11/30/2021 00:01:30,0.002,11/30/2021 00:01:30,NaN,11/30/2021 00:01:30,0.000,11/30/2021 00:01:30,0,11/30/2021 00:01:30,37,11/30/2021 00:01:30,0,11/30/2021 00:01:30,0
11/30/2021 00:01:30,NaN,11/30/2021 00:07:30,0.002,11/30/2021 00:07:30,NaN,11/30/2021 00:07:30,0.000,11/30/2021 00:07:30,0,11/30/2021 00:07:30,37,11/30/2021 00:07:30,0,11/30/2021 00:07:30,0
11/30/2021 00:07:30,NaN,11/30/2021 00:13:30,0.002,11/30/2021 00:13:30,NaN,11/30/2021 00:13:30,0.000,11/30/2021 00:13:30,0,11/30/2021 00:13:30,37,11/30/2021 00:13:30,0,11/30/2021 00:13:30,0
11/30/2021 00:13:30,NaN,11/30/2021 00:19:30,0.002,11/30/2021 00:19:30,NaN,11/30/2021 00:19:30,0.000,11/30/2021 00:19:30,0,11/30/2021 00:19:30,37,11/30/2021 00:19:30,0,11/30/2021 00:19:30,0
11/30/2021 00:19:30,NaN,11/30/2021 00:25:30,0.002,11/30/2021 00:25:30,NaN,11/30/2021 00:25:30,0.000,11/30/2021 00:25:30,0,11/30/2021 00:25:30,37,11/30/2021 00:25:30,0,11/30/2021 00:25:30,0
11/30/2021 00:25:30,NaN,11/30/2021 00:31:30,0.002,11/30/2021 00:31:30,NaN,11/30/2021 00:31:30,0.000,11/30/2021 00:31:30,0,11/30/2021 00:31:30,37,11/30/2021 00:31:30,0,11/30/2021 00:31:30,0
11/30/2021 00:31:30,NaN,11/30/2021 00:37:30,0.002,11/30/2021 00:37:30,NaN,11/30/2021 00:37:30,0.000,11/30/2021 00:37:30,0,11/30/2021 00:37:30,37,11/30/2021 00:37:30,0,11/30/2021 00:37:30,0
